ObjectID,Title,ConstituentID,Date,Medium,Dimensions,Classification,Department,DateAcquired,URL,ImageURL,OnView
.4: 8 1/2 x 5 1/8" (21.6 x 13 cm)
.5-.6: 5 5/8 x 3 1/4" (14.3 x 8.2 cm)",Design,"Architecture & Design",1934-04-01,https://www.moma.org/collection/works/2805,https://www.moma.org/media/W1siZiIsIjIxMDc2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a19a047dbf5a1b7a,"MoMA, Floor 5, 511"
2807,"Chess Set",3716,1920–1926,"Silver-plated and oxidized silver-plated brass","Tallest piece: h. 4" (10.2 cm)
Case: 2 5/8 x 21 1/4 x 16 1/2" (6.7 x 54 x 41.9 cm)",Design,"Architecture & Design",1950-06-08,https://www.moma.org/collection/works/2807,https://www.moma.org/media/W1siZiIsIjI1Mjc1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9d8ac151caf39fee,"MoMA, Floor 5, 513"
2816,Beakers,9339,1920s,"Glazed porcelain",".1: 8 3/8 x 5 3/8" (21.2 x 13.7 cm)
.3: 6 1/2 x 4 1/4" (16.5 x 10.8 cm)
.4: 6 x 3 7/8" (15.2 x 9.8 cm)
.5: 5 5/8 x 3 5/8" (14.3 x 9.2 cm)
.7: 4 5/8 x 3 1/8" (11.8 x 7.9 cm)
.9: 3 3/4 x 2 1/2" (9.5 x 6.4 cm)",Design,"Architecture & Design",1934-04-01,https://www.moma.org/collection/works/2816,https://www.moma.org/media/W1siZiIsIjIxMDc2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e509fc25b6553176,"MoMA, Floor 5, 511"
2841,Spring,9953,"Before 1934",Steel,"2 1/4 x 2 1/4" (5.7 x 5.7 cm)",Design,"Architecture & Design",1934-04-01,https://www.moma.org/collection/works/2841,https://www.moma.org/media/W1siZiIsIjIxMDc3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4c83ced717ca1447,"MoMA, Floor 5, 511"
2859,"Hydrometer Jar",6011,"Before 1934",Glass,"h. 10" (25.4 cm), diam. 11/16" (1.8 cm); base diam. 1 15/16" (4.9 cm)",Design,"Architecture & Design",1934-04-01,https://www.moma.org/collection/works/2859,https://www.moma.org/media/W1siZiIsIjIxMDc4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8aff4a542a3efc49,"MoMA, Floor 5, 511"
2890,"Hydrometer Jar",6011,"Before 1934",Glass,"6 3/4 x 1 5/8" (17.2 x 4.2 cm)",Design,"Architecture & Design",1934-04-01,https://www.moma.org/collection/works/2890,https://www.moma.org/media/W1siZiIsIjIxMDgwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9f8bda1f03a4436c,"MoMA, Floor 5, 511"
2891,"Wear-Ever Tea Kettle (model 1403)",2402,"c. 1932-33","Aluminum and plastic","8 1/2 x 9 1/2" (21.6 x 24.1 cm)",Design,"Architecture & Design",1944-11-08,https://www.moma.org/collection/works/2891,https://www.moma.org/media/W1siZiIsIjIyODkxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=13d364be6a47af30,"MoMA, Floor 5, 511"
2983,"Flores Box",3766,1991,"Thermoplastic polymer","3 x 12 1/4 x 6" (7.6 x 31.1 x 15.2 cm)",Design,"Architecture & Design",1998-04-22,https://www.moma.org/collection/works/2983,https://www.moma.org/media/W1siZiIsIjIxMDg1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c087e4e6cd38315f,"MoMA, Floor 1, 1 South"
3025,Bottles,10302,"Before 1934","Glass and plastic",".1: 6 1/2 x 3 1/4" (16.5 x 8.3 cm)
.2: 5 1/4 x 2 3/8" (13.4 x 6 cm)
.3: 4 1/4 x 2" (10.8 x 5.1 cm)",Design,"Architecture & Design",NULL,https://www.moma.org/collection/works/3025,https://www.moma.org/media/W1siZiIsIjIxMDg2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=82554ae87c24eaef,"MoMA, Floor 5, 511"
3048,"Compote dish",4749,"c. 1907","Flashed and cut glass","8 x 5 7/8" (20.3 x 15 cm)",Design,"Architecture & Design",1986-10-07,https://www.moma.org/collection/works/3048,https://www.moma.org/media/W1siZiIsIjIyOTAxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f5f6cbff72ecfe08,"MoMA, Floor 5, 504"
3072,"Liqueur glasses",2694,"c. 1908","Blown glass",".1: h. 3 1/2" (8.9 cm), diam. 2 3/8" (6 cm)
.2: h. 2 3/4" (7 cm), diam. 2 1/2" (6.4 cm)
.3: h. 5 1/4" (13.3 cm), diam. 2 1/4" (5.7 cm)",Design,"Architecture & Design",1979-05-30,https://www.moma.org/collection/works/3072,https://www.moma.org/media/W1siZiIsIjIxMDg5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=598b7fc6c6369e9c,"MoMA, Floor 5, 504"
3144,"Crusader Hotel Sauce Pots",9724,1920s,"Stainless steel",".1: 8 x 18 3/4 x 14 1/8" (20.3 x 47.6 x 35.9 cm)
.2: 7 x 17 3/8 x 13 1/4" (17.8 x 44.1 x 33.7 cm)
