Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ImageURL,OnView,"Circumference (cm)","Depth (cm)","Diameter (cm)","Height (cm)","Length (cm)","Weight (kg)","Width (cm)","Seat Height (cm)","Duration (sec.)"
"Traffic Study project , Philadelphia, PA (Plan of proposed traffic-movement pattern)","Louis I. Kahn",2964,"(American, born Estonia. 1901–1974)",(American),(1901),(1974),(male),1952,"Ink, graphite, and cut-and-pasted papers on paper","24 1/2 x 42 3/4" (62.2 x 108.6 cm)","Gift of the architect",389.1964,Architecture,"Architecture & Design",1964-04-14,yes,488,https://www.moma.org/collection/works/488,https://www.moma.org/media/W1siZiIsIjUxODUxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a65e0b16a0f4c45e,NULL,NULL,NULL,NULL,52.10,NULL,NULL,108.60,NULL,NULL
"Mikveh Israel Synagogue, project, Philadelphia, Pennsylvania, Plan sketches","Louis I. Kahn",2964,"(American, born Estonia. 1901–1974)",(American),(1901),(1974),(male),1963,"Charcoal on tracing paper","18 x 33 1/2" (45.7 x 85.1 cm)","Gift of the architect",389.1967,Architecture,"Architecture & Design",1967-04-11,yes,489,https://www.moma.org/collection/works/489,https://www.moma.org/media/W1siZiIsIjUxOTcxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=11044ff976f4aeac,NULL,NULL,NULL,NULL,45.70,NULL,NULL,85.10,NULL,NULL
"Antigone: La Place du Nombre d'Or, Montpellier, France, Elevation","Ricardo Bofill",632,"(Spanish, born 1939)",(Spanish),(1939),NULL,(male),"c. 1978-84","Ink on vellum","14 7/8 x 70 1/2" (37.8 x 179.1 cm)","Gift of Ricardo Bofill Taller de Arquitectura",389.1985,Architecture,"Architecture & Design",1985-11-18,yes,490,https://www.moma.org/collection/works/490,https://www.moma.org/media/W1siZiIsIjUyNDA4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a3a591b642bb4fca,NULL,NULL,NULL,NULL,37.80,NULL,NULL,179.10,NULL,NULL
"House for Venice Biennale project, Venice, Italy (Analysis of project)","Cesar Pelli",7528,"(American, born Argentina 1926)",(American),(1926),NULL,(male),1976,Photomontage,"40 x 40" (101.6 x 101.6 cm)","Gift of the architect in honor of Philip Johnson",389.1996,Architecture,"Architecture & Design",1996-09-25,yes,491,https://www.moma.org/collection/works/491,NULL,NULL,NULL,NULL,NULL,101.60,NULL,NULL,101.60,NULL,NULL
"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh (Prayer Hall: plan and elevation sketches)","Louis I. Kahn",2964,"(American, born Estonia. 1901–1974)",(American),(1901),(1974),(male),1964,"Charcoal and graphite on tracing paper","14 3/4 x 14 1/8" (37.5 x 35.9 cm)","Gift of the architect",390.1964,Architecture,"Architecture & Design",1964-04-14,yes,492,https://www.moma.org/collection/works/492,https://www.moma.org/media/W1siZiIsIjUxODUxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=74f55d538acbce95,NULL,NULL,NULL,NULL,37.47,NULL,NULL,35.88,NULL,NULL
"Mikveh Israel Synagogue, project, Philadelphia, Pennsylvania, Perspective drawing","Louis I. Kahn",2964,"(American, born Estonia. 1901–1974)",(American),(1901),(1974),(male),1962,"Charcoal on tracing paper","23 7/8 x 36 5/8" (60.6 x 93 cm)","Gift of the architect",390.1967,Architecture,"Architecture & Design",1967-04-11,yes,493,https://www.moma.org/collection/works/493,https://www.moma.org/media/W1siZiIsIjUxOTcxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0163f59ca6425c58,NULL,NULL,NULL,NULL,60.60,NULL,NULL,93.00,NULL,NULL
"Preliminary color scheme for ceiling and short walls of dance hall in Café Aubette, Strasbourg, France","Theo van Doesburg",6076,"(Dutch, 1883–1931)",(Dutch),(1883),(1931),(male),1926–1928,"Ink and gouache on paper","10 3/4 x 24 3/4" (27.3 x 62.9 cm)","Gift of Lily Auchincloss, Celeste Bartos, and Marshall Cogan",390.1982,Architecture,"Architecture & Design",1982-10-27,yes,494,https://www.moma.org/collection/works/494,https://www.moma.org/media/W1siZiIsIjUyMTQ0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=74bd6bbb8ac627ce,NULL,NULL,NULL,NULL,27.30,NULL,NULL,62.90,NULL,NULL
"Antigone: La Place du Nombre d'Or, Montpellier, France, Interior-court elevation","Ricardo Bofill",632,"(Spanish, born 1939)",(Spanish),(1939),NULL,(male),"c. 1978-84","Ink on vellum","15 3/8 x 70 1/8" (39.1 x 178.1 cm)","Gift of Ricardo Bofill Taller de Arquitectura",390.1985,Architecture,"Architecture & Design",1985-11-18,yes,495,https://www.moma.org/collection/works/495,https://www.moma.org/media/W1siZiIsIjUyNDA4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d03b0880070457b3,NULL,NULL,NULL,NULL,39.10,NULL,NULL,178.10,NULL,NULL
"House for Venice Biennale project, Venice, Italy (Analysis of project)","Cesar Pelli",7528,"(American, born Argentina 1926)",(American),(1926),NULL,(male),1976,Photomontage,"40 x 40" (101.6 x 101.6 cm)","Gift of the architect in honor of Philip Johnson",390.1996,Architecture,"Architecture & Design",1996-09-25,yes,496,https://www.moma.org/collection/works/496,NULL,NULL,NULL,NULL,NULL,101.60,NULL,NULL,101.60,NULL,NULL
"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh (Site plan and elevation sketches)","Louis I. Kahn",2964,"(American, born Estonia. 1901–1974)",(American),(1901),(1974),(male),1962,"Graphite and crayon on tracing paper","10 3/8 x 18 3/4" (26.4 x 47.6 cm)","Gift of the architect",391.1964,Architecture,"Architecture & Design",1964-04-14,yes,497,https://www.moma.org/collection/works/497,https://www.moma.org/media/W1siZiIsIjUxODUxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=56d4cf9e9385bd10,NULL,NULL,NULL,NULL,26.40,NULL,NULL,47.60,NULL,NULL
