Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ImageURL,OnView,"Circumference (cm)","Depth (cm)","Diameter (cm)","Height (cm)","Length (cm)","Weight (kg)","Width (cm)","Seat Height (cm)","Duration (sec.)"
"Gymnasium-Bridge Project, New York, New York, Perspective","Steven Holl",2702,"(American, born 1947)",(American),(1947),NULL,(male),1977,"Ink and graphite on paper","13 1/2 x 22" (34.3 x 55.9 cm)","Roblee McCarthy Fund",84.1989,Architecture,"Architecture & Design",1989-05-16,yes,164,https://www.moma.org/collection/works/164,https://www.moma.org/media/W1siZiIsIjUyNzI0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=319f322139bffba0,NULL,NULL,NULL,NULL,34.30,NULL,NULL,55.90,NULL,NULL
"Library and Office Building of Salman Schocken, Jerusalem, Israel, Interior perspectives","Erich Mendelsohn",8219,"(American, born Germany (now Poland). 1887–1953)",(American),(1887),(1953),(male),1935,"Graphite and color pencil on tracing paper","14 x 11 1/2" (35.6 x 29.2 cm)","Gift of Milton Sheingarten",85.2000,Architecture,"Architecture & Design",2000-01-19,yes,165,https://www.moma.org/collection/works/165,https://www.moma.org/media/W1siZiIsIjUzMTA3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c2a71528671496cb,NULL,NULL,NULL,NULL,35.60,NULL,NULL,29.20,NULL,NULL
"Gymnasium Bridge, project, New York City, New York, Plan, site plan, and exterior perspective","Steven Holl",2702,"(American, born 1947)",(American),(1947),NULL,(male),1977,"Graphite on paper","22 x 29 3/4" (55.9 x 75.6 cm)","Roblee McCarthy Fund",85.1989,Architecture,"Architecture & Design",1989-05-16,yes,166,https://www.moma.org/collection/works/166,https://www.moma.org/media/W1siZiIsIjUyNzI0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b0348ddc59ba405a,NULL,NULL,NULL,NULL,55.90,NULL,NULL,75.60,NULL,NULL
"Library and Office Building of Salman Schocken, Jerusalem, Israel, Perspective and plan","Erich Mendelsohn",8219,"(American, born Germany (now Poland). 1887–1953)",(American),(1887),(1953),(male),Unknown,"Graphite and color pencil on tracing paper","8 1/2 x 14 1/8" (21.6 x 35.9 cm)","Gift of Milton Sheingarten",86.2000,Architecture,"Architecture & Design",2000-01-19,yes,167,https://www.moma.org/collection/works/167,https://www.moma.org/media/W1siZiIsIjUzMTA4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7625356de73ce1f9,NULL,NULL,NULL,NULL,21.60,NULL,NULL,35.90,NULL,NULL
"Helium Bridge Project","Paolo Soleri",8101,"(American, born Italy. 1919–2013)",(American),(1919),(2013),(male),1958,Silkscreen,"21 3/4 x 59 1/8" (55.2 x 150.2 cm)","Gift of the architect",114.2013,Architecture,"Architecture & Design",1966-01-01,yes,168,https://www.moma.org/collection/works/168,https://www.moma.org/media/W1siZiIsIjU3NjgwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=14682ac5c222a3b8,NULL,NULL,NULL,NULL,55.20,NULL,NULL,150.20,NULL,NULL
"Autonomous Artisans' House, project, Staten Island, New York, Perspective","Steven Holl",2702,"(American, born 1947)",(American),(1947),NULL,(male),1980,"Graphite and watercolor on paper","3 1/4 x 13" (8.3 x 33 cm)","Edward Larrabee Barnes Purchase Fund",86.1989,Architecture,"Architecture & Design",1989-05-16,yes,169,https://www.moma.org/collection/works/169,https://www.moma.org/media/W1siZiIsIjUyNzI0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7b155c8d6ca8c342,NULL,NULL,NULL,NULL,8.30,NULL,NULL,33.00,NULL,NULL
"Library and Office Building of Salman Schocken, Jerusalem, Israel, Elevations","Erich Mendelsohn",8219,"(American, born Germany (now Poland). 1887–1953)",(American),(1887),(1953),(male),Unknown,"Graphite and color pencil on tracing paper","8 x 14 1/8" (20.3 x 35.9 cm)","Gift of Milton Sheingarten",87.2000,Architecture,"Architecture & Design",2000-01-19,yes,170,https://www.moma.org/collection/works/170,https://www.moma.org/media/W1siZiIsIjUzMTA5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6c2d17745e254054,NULL,NULL,NULL,NULL,20.30,NULL,NULL,35.90,NULL,NULL
"Autonomous Artisans' House, project, New York (Staten Island), New York, Perspective","Steven Holl",2702,"(American, born 1947)",(American),(1947),NULL,(male),1984,"Graphite on vellum","20 1/2 x 40 3/4" (52.1 x 103.5 cm)","Edward Larrabee Barnes Purchase Fund",87.1989,Architecture,"Architecture & Design",1989-05-16,yes,171,https://www.moma.org/collection/works/171,https://www.moma.org/media/W1siZiIsIjUyNzI0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=982d25f503e5dda0,NULL,NULL,NULL,NULL,52.10,NULL,NULL,103.50,NULL,NULL
"Library and Office Building of Salman Schocken, Jerusalem, Israel, Perspectives and elevation","Erich Mendelsohn",8219,"(American, born Germany (now Poland). 1887–1953)",(American),(1887),(1953),(male),Unknown,"Graphite on tracing paper","13 3/4 x 7" (34.9 x 17.8 cm)","Gift of Milton Sheingarten",88.2000,Architecture,"Architecture & Design",2000-01-19,yes,172,https://www.moma.org/collection/works/172,https://www.moma.org/media/W1siZiIsIjUzMTEwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9465687b6b6aaac1,NULL,NULL,NULL,NULL,34.90,NULL,NULL,17.80,NULL,NULL
"Berkowitz House, Martha's Vineyard, Massachusetts, Exterior perspective","Steven Holl",2702,"(American, born 1947)",(American),(1947),NULL,(male),1985,"Graphite and watercolor on paper","20 1/2 x 42 1/2" (52.1 x 108 cm)","Kenneth Walker Fund",88.1989,Architecture,"Architecture & Design",1989-05-16,yes,173,https://www.moma.org/collection/works/173,https://www.moma.org/media/W1siZiIsIjUyNzI0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1e90b5832b19db5a,NULL,NULL,NULL,NULL,52.07,NULL,NULL,107.95,NULL,NULL
